,HBA,HBD,HBA:HBD,T(K),Tc(K),Pc(bar),Fator Acentrico,Density(kg/m3),Calculado Model 1,Calculado Model 2,Calculado Model 3
1087,Tetrabutylammonium chloride,Glutamic acid,8;1,323.15,789.04,14.61,0.8895,952.2,959.5287,978.26733,979.9719
692,Choline chloride,O-Cresol,1;2,298.2,668.78,39.94,0.569,1077.6,1118.0784,1125.4646,1125.3364
1195,Tetraethylammonium bromide,Levulinic acid,1;1,343.15,687.77,28.859,0.6275,1139.7,1143.7513,1128.0498,1139.3911
122,Allyl triphenylphosphonium bromide,Diethylene glycol,1;4,303.15,756.24,30.004,0.97,1193.8,1213.6855,1215.7886,1202.0956
445,Choline chloride,D-Xylose,3;1,296.15,682.12,27.934,1.0381,1220.0,1042.2693,1067.9408,1075.525
1107,Tetrabutylammonium chloride,Glycerol,1;3,333.15,718.68,25.394,1.3077,988.0,1047.8053,1054.1458,1028.0632
228,Benzyl tripropyl ammonium Chloride,Oxalic acid,1;1,338.15,774.01,27.293,0.8586,1231.0,1150.7086,1188.2913,1190.4
566,Choline chloride,Glycerol,1;2,333.15,680.67,33.459,1.2254,1171.8999999999999,1160.7428,1168.4098,1148.0243
13,Acetyl choline chloride,D-Fructose,1;1,323.15,844.6,25.637,1.3743,1247.0,1259.2388,1261.0927,1273.4209
967,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;4,343.15,604.66,44.874,0.9488,1075.0,1074.125,1069.9755,1069.7217
744,Choline chloride,Phenol,1;6,313.2,661.93,52.851,0.477,1074.5,1098.9177,1091.4275,1077.0481
164,Allyl triphenylphosphonium bromide,Triethylene glycol,1;10,293.15,776.85,26.338,1.0689,1159.2,1162.6982,1170.5007,1193.2452
388,Choline chloride,D-Fructose,2.5;1,298.15,724.47,27.049,1.1611,1259.0,1117.786,1169.1655,1122.6427
1180,Tetraethylammonium chloride,Levulinic acid,1;1,323.15,664.78,28.36,0.6212,1076.1000000000001,1069.2244,1053.864,1074.985
946,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;3,313.15,606.72,42.693,0.9378,1092.6,1105.8644,1104.5529,1099.6752
610,Choline chloride,Guaiacol,1;3,293.15,696.74,41.799,0.5572,1153.3,1137.6241,1136.4073,1125.8822
738,Choline chloride,Phenol,1;5,313.2,660.49,51.686,0.4848,1076.1000000000001,1099.8385,1092.6812,1080.0057
396,Choline chloride,D-Glucose,2;1,303.15,738.99,27.233,1.2163,1239.7,1158.6815,1213.0114,1179.0853
589,Choline chloride,Glycerol,1;3,333.15,688.99,34.58,1.2835,1184.3999999999999,1193.5265,1195.7913,1170.5459
991,"N,N diethylenethanol ammonium chloride",Glycerol,1;2.03,338.15,689.85,32.445,1.2317,1149.2,1144.055,1149.7832,1162.2584
434,Choline chloride,D-Xylose,1;1,303.15,745.4,29.037,1.3153,1254.0,1242.4634,1225.932,1290.4082
971,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;4,363.15,604.66,44.874,0.9488,1062.2,1056.7885,1071.2075,1068.3778
895,Methyl triphenylphosphonium bromide,Glycerol,1;3,333.15,801.64,30.416,1.2518,1273.6000000000001,1268.6417,1304.4614,1277.7185
1196,Tetrahexylammonium bromide,Ethylene glycol,1;2,293.15,710.19,22.824,1.0056,1007.8000000000001,1039.4413,1040.9087,1005.2923
120,Allyl triphenylphosphonium bromide,Diethylene glycol,1;4,293.15,756.24,30.004,0.97,1201.1000000000001,1216.0503,1222.0482,1210.6107
1209,Tetrahexylammonium bromide,Glycerol,1;2,303.15,793.24,19.639,1.3155,1039.3,1071.2727,1077.8201,1044.9585
694,Choline chloride,O-Cresol,1;3.91,298.2,678.84,43.53,0.5317,1066.4,1134.9587,1125.7281,1115.4248
730,Choline chloride,Phenol,1;4,303.2,658.52,50.117,0.4959,1086.0,1106.6816,1105.3221,1090.1013
538,Choline chloride,Glycerol,1;1,318.15,664.9,31.424,1.1093,1145.3999999999999,1124.5125,1138.6471,1115.9326
688,Choline chloride,Nfurfuryl alcohol,1;5,303.15,650.84,42.3,0.686,1130.9,1162.524,1121.0765,1160.8202
825,Methyl triphenylphosphonium bromide,Ethylene glycol,1;3,353.15,708.03,37.459,0.9031,1211.9,1198.0599,1199.1505,1175.7378
200,Benzyl tripropyl ammonium Chloride,Glycerol,1;3,308.15,735.27,27.577,1.2862,1123.8,1162.2921,1167.2911,1179.7019
1182,Tetraethylammonium chloride,Levulinic acid,1;1,333.15,664.78,28.36,0.6212,1069.1999999999998,1067.5354,1051.8484,1072.9359
184,Allyl triphenylphosphonium bromide,Triethylene glycol,1;16,338.15,765.16,26.734,1.0819,1112.2,1167.7151,1132.2244,1175.9551
305,benzyldimethyl(2-hydroxyethyl) ammonium chloride,D-Mannose,1;1,318.15,908.27,21.009,1.5684,1249.0,1243.0316,1238.5747,1239.729
240,Benzyl tripropyl ammonium Chloride,Phenol,1;3,338.15,701.16,37.822,0.5152,1030.8999999999999,1071.7535,1044.9811,1093.2034
638,Choline chloride,Levulinic acid,1;2,313.15,702.19,35.396,0.7301,1128.0,1109.4142,1134.4647,1120.3062
935,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;2.03,333.15,610.36,39.62,0.9203,1077.8000000000002,1083.4507,1085.2657,1081.0591
448,Choline chloride,Ethylene glycol,1;1.78,308.15,602.56,40.124,0.9094,1112.2,1074.6959,1091.0653,1094.2378
1028,Tetrabutylammonium chloride,Asinine,6;1,303.15,808.05,14.827,0.9025,1004.1999999999999,946.8348,961.69604,985.2511
725,Choline chloride,Phenol,1;3,308.2,655.66,47.894,0.5125,1085.8000000000002,1115.309,1110.8484,1096.7235
557,Choline chloride,Glycerol,1;2,353.15,680.67,33.459,1.2254,1157.5,1149.785,1148.6616,1141.2244
1233,Trimethylglicine,Mandelic acid,1;2,363.15,780.73,35.488,0.8301,1180.0,1212.2341,1248.0393,1243.8375
792,L-proline,Lactic acid,1;1,293.15,721.95,48.538,0.8243,1265.1,1231.0544,1225.9966,1226.1221
443,Choline chloride,D-Xylose,1;1,348.15,745.4,29.037,1.3153,1229.0,1234.1099,1211.2958,1282.5477
